i,c,d,l,s,pr
178,112,7,567,917.000000,0.295813
179,112,7,571,921.000000,0.181352
180,113,7,569,919.000000,0.376514
181,113,7,571,921.000000,0.230618
182,113,7,569,919.000000,0.375614
183,113,7,559,909.000000,1
184,113,7,559,909.000000,0.374713
185,113,7,559,909.000000,0.374261
186,112,7,561,911.000000,0.292289
187,113,7,559,909.000000,0.477631
188,112,7,561,911.000000,0.291404
189,113,7,557,907.000000,0.610286
190,113,7,557,907.000000,0.371995
191,113,7,557,907.000000,0.37154
192,114,7,554,904.000000,0.538171
193,114,7,554,904.000000,0.370628
194,114,7,560,910.000000,0.175673
195,114,7,560,910.000000,0.369714
196,114,7,560,910.000000,0.369256
197,113,7,562,912.000000,0.287399
198,113,7,562,912.000000,0.368339
199,112,7,565,915.000000,0.25284
200,112,7,565,915.000000,0.367419
201,112,7,565,915.000000,0.366959
202,111,7,567,917.000000,0.28516
203,111,7,567,917.000000,0.366035
204,111,7,567,917.000000,0.365573
205,110,7,569,919.000000,0.283811
206,110,7,569,919.000000,0.364646
207,111,7,566,916.000000,0.531893
208,111,7,568,918.000000,0.282459
209,111,7,568,918.000000,0.363252
210,110,7,570,920.000000,0.281555
211,109,7,573,923.000000,0.2476
212,108,7,575,925.000000,0.28065
213,108,7,575,925.000000,0.361385
214,109,7,571,921.000000,0.600763
215,108,7,577,927.000000,0.167677
216,108,7,573,923.000000,0.599982
217,108,7,573,923.000000,0.359508
218,109,7,571,921.000000,0.463826
219,109,7,570,920.000000,0.407613
220,109,7,570,920.000000,0.358095
221,109,7,570,920.000000,0.357622
222,109,7,570,920.000000,0.357149
223,109,7,574,924.000000,0.213015
224,108,7,577,927.000000,0.24187
225,108,7,577,927.000000,0.355727
226,108,7,577,927.000000,0.355252
227,108,7,577,927.000000,0.354776
228,107,7,579,929.000000,0.273346
229,107,7,579,929.000000,0.353822
230,107,7,579,929.000000,0.353344
231,106,7,582,932.000000,0.238761
232,106,7,582,932.000000,0.352387
233,107,7,579,929.000000,0.520617
234,108,7,573,923.000000,0.769944
235,107,7,576,926.000000,0.236977
236,108,7,570,920.000000,0.769416
237,108,7,570,920.000000,0.349984
238,108,7,570,920.000000,0.349501
239,108,7,570,920.000000,0.349018
240,108,7,570,920.000000,0.348534
241,108,7,570,920.000000,0.34805
242,108,7,570,920.000000,0.347565
243,108,7,570,920.000000,0.34708
244,108,7,570,920.000000,0.346594
245,108,7,570,920.000000,0.346107
246,109,7,568,918.000000,0.450763
247,109,7,568,918.000000,0.345131
248,109,7,564,914.000000,0.587063
249,109,7,565,915.000000,0.301194
250,108,7,568,918.000000,0.230242
251,108,7,568,918.000000,0.343174
252,108,7,562,912.000000,0.765109
253,108,7,562,912.000000,0.342191
254,108,7,562,912.000000,0.341699
255,108,7,562,912.000000,0.341206
256,108,7,562,912.000000,0.340713
257,109,7,559,909.000000,0.50974
258,109,7,559,909.000000,0.339724
259,110,7,557,907.000000,0.444498
260,109,7,559,909.000000,0.258417
261,109,7,561,911.000000,0.257944
262,110,7,559,909.000000,0.443033
263,110,7,559,909.000000,0.337241
264,110,7,559,909.000000,0.336743
265,110,7,559,909.000000,0.336244
266,110,7,559,909.000000,0.335744
267,111,7,556,906.000000,0.505069
268,112,7,554,904.000000,0.440082
269,111,7,557,907.000000,0.221607
270,110,7,559,909.000000,0.253665
271,110,7,559,909.000000,0.333237
272,109,7,561,911.000000,0.252709
273,109,7,561,911.000000,0.33223
274,109,7,561,911.000000,0.331725
275,108,7,563,913.000000,0.251273
276,108,7,563,913.000000,0.330714
277,108,7,563,913.000000,0.330208
278,108,7,563,913.000000,0.329701
279,107,7,566,916.000000,0.217017
280,107,7,560,910.000000,0.757173
281,106,7,562,912.000000,0.433591
282,106,7,562,912.000000,0.572421
283,106,7,560,910.000000,0.756291
284,106,7,559,909.000000,0.657323
285,106,7,560,910.000000,0.496446
286,105,7,563,913.000000,0.374648
287,105,7,563,913.000000,0.570183
288,105,7,563,913.000000,0.569733
289,105,7,563,913.000000,0.569281
290,105,7,563,913.000000,0.568829
291,105,7,563,913.000000,0.568376
292,105,7,563,913.000000,0.567922
293,105,7,565,915.000000,0.427475
294,105,7,565,915.000000,0.567011
295,106,7,563,913.000000,0.752698
296,105,7,567,917.000000,0.320466
297,104,7,569,919.000000,0.42541
298,104,7,569,919.000000,0.565179
299,104,7,569,919.000000,0.564718
300,104,7,569,919.000000,0.564257
301,103,7,571,921.000000,0.423332
302,102,7,574,924.000000,0.366299
303,102,7,573,923.000000,0.649837
304,102,7,573,923.000000,0.562401
305,102,7,573,923.000000,0.561935
306,102,7,577,927.000000,0.315246
307,101,7,579,929.000000,0.272374
308,100,7,581,931.000000,0.271862
309,100,7,581,931.000000,0.362586
310,100,7,581,931.000000,0.362053
311,100,7,581,931.000000,0.361519
312,100,7,579,929.000000,0.482969
313,101,7,576,926.000000,0.558171
314,101,7,576,926.000000,0.359911
315,101,7,576,926.000000,0.359374
316,101,7,576,926.000000,0.358836
317,101,7,576,926.000000,0.358297
318,101,7,576,926.000000,0.357757
319,102,7,574,924.000000,0.479364
320,103,7,570,920.000000,0.642861
321,103,7,565,915.000000,0.744543
322,103,7,565,915.000000,0.553861
323,103,7,565,915.000000,0.553377
324,103,7,565,915.000000,0.552892
325,103,7,565,915.000000,0.552406
326,104,7,563,913.000000,0.742913
327,105,7,561,911.000000,0.742584
328,105,7,560,910.000000,0.639484
329,105,7,560,910.000000,0.550452
330,106,7,556,906.000000,1
331,106,7,556,906.000000,0.549469
332,105,7,559,909.000000,0.350121
333,105,7,559,909.000000,0.548482
334,104,7,567,917.000000,0.164555
335,104,7,571,921.000000,0.164108
336,105,7,569,919.000000,0.404551
337,106,7,566,916.000000,0.469876
338,106,7,562,912.000000,0.545996
339,106,7,566,916.000000,0.162321
340,106,7,566,916.000000,0.297019
341,106,7,566,916.000000,0.296471
342,106,7,560,910.000000,0.737555
343,106,7,564,914.000000,0.160531
344,107,7,561,911.000000,0.466098
345,107,7,561,911.000000,0.294275
346,107,7,561,911.000000,0.293724
347,107,7,561,911.000000,0.293173
348,107,7,561,911.000000,0.292621
349,106,7,567,917.000000,0.116037
350,106,7,569,919.000000,0.214203
351,105,7,571,921.000000,0.213694
352,104,7,573,923.000000,0.213185
353,104,7,572,922.000000,0.338378
354,104,7,572,922.000000,0.289295
355,104,7,572,922.000000,0.288738
356,104,7,572,922.000000,0.288181
357,104,7,571,921.000000,0.336101
358,104,7,571,921.000000,0.287064
359,104,7,571,921.000000,0.286505
360,103,7,576,926.000000,0.130755
361,103,7,576,926.000000,0.285384
362,104,7,574,924.000000,0.38988
363,104,7,573,923.000000,0.332662
364,104,7,573,923.000000,0.283699
365,104,7,577,927.000000,0.150658
366,104,7,578,928.000000,0.241279
367,105,7,573,923.000000,0.622082
368,105,7,573,923.000000,0.281442
369,105,7,573,923.000000,0.280876
370,106,7,571,921.000000,0.385238
371,106,7,571,921.000000,0.279743
372,106,7,571,921.000000,0.279175
373,106,7,571,921.000000,0.278606
374,106,7,571,921.000000,0.278037
375,106,7,571,921.000000,0.277468
376,106,7,571,921.000000,0.276897
377,105,7,573,923.000000,0.200344
378,105,7,567,917.000000,0.724654
379,105,7,567,917.000000,0.323346
380,106,7,565,915.000000,0.445858
381,106,7,567,917.000000,0.233095
382,106,7,566,916.000000,0.378156
383,106,7,566,916.000000,0.320984
384,106,7,566,916.000000,0.320392
385,106,7,566,916.000000,0.319798
386,106,7,566,916.000000,0.319204
387,106,7,566,916.000000,0.318609
388,106,7,567,917.000000,0.270001
389,106,7,567,917.000000,0.317416
390,107,7,565,915.000000,0.439983
391,106,7,567,917.000000,0.227578
392,106,7,569,919.000000,0.227023
393,106,7,570,920.000000,0.2671
394,106,7,570,920.000000,0.31442
395,106,7,570,920.000000,0.313819
396,107,7,568,918.000000,0.436404
397,106,7,570,920.000000,0.224245
398,106,7,570,920.000000,0.312008
