i,c,d,l,s,pr
775,132,7,488,838.000000,0.167677
776,131,7,491,841.000000,0.0433255
777,131,7,491,841.000000,0.165001
778,132,7,489,839.000000,0.404551
779,132,7,489,839.000000,0.162321
780,132,7,489,839.000000,0.160979
781,132,7,489,839.000000,0.159635
782,132,7,488,838.000000,0.250953
783,132,7,488,838.000000,0.156946
784,131,7,490,840.000000,0.0613784
785,130,7,492,842.000000,0.0605832
786,130,7,492,842.000000,0.152906
787,130,7,492,842.000000,0.151557
788,129,7,496,846.000000,0.0225624
789,130,7,494,844.000000,0.385821
790,130,7,494,844.000000,0.147508
791,130,7,494,844.000000,0.146157
792,130,7,494,844.000000,0.144805
793,130,7,494,844.000000,0.143453
794,131,7,492,842.000000,0.376962
795,130,7,495,845.000000,0.0323425
796,130,7,495,845.000000,0.139395
797,131,7,493,843.000000,0.37154
798,131,7,493,843.000000,0.136689
799,131,7,493,843.000000,0.135335
800,131,7,493,843.000000,0.133982
801,131,7,494,844.000000,0.0800381
802,131,7,494,844.000000,0.131276
803,130,7,496,846.000000,0.0468303
804,130,7,497,847.000000,0.0769882
805,131,7,493,843.000000,1
806,132,7,486,836.000000,1
807,131,7,488,838.000000,0.000655677
808,132,7,478,828.000000,0.120464
809,132,7,478,828.000000,0.119116
810,132,7,478,828.000000,0.117768
811,132,7,480,830.000000,0.0397237
812,133,7,478,828.000000,0.339229
813,133,7,478,828.000000,0.0376776
814,133,7,478,828.000000,0.111047
815,133,7,477,827.000000,0.190623
816,134,7,475,825.000000,0.107031
817,135,7,472,822.000000,0.104362
818,135,7,472,822.000000,0.103031
819,135,7,472,822.000000,0.101701
820,135,7,472,822.000000,0.100374
821,135,7,470,820.000000,0.0977266
822,135,7,470,820.000000,0.0964065
823,135,7,470,820.000000,0.0950891
824,134,7,478,828.000000,0.000824617
825,134,7,472,822.000000,0.304076
826,135,7,469,819.000000,0.0898478
827,135,7,469,819.000000,0.0885452
828,135,7,469,819.000000,0.0872459
829,135,7,469,819.000000,0.0859502
830,135,7,469,819.000000,0.084658
831,135,7,469,819.000000,0.0833696
832,135,7,470,820.000000,0.0439369
833,135,7,470,820.000000,0.0808044
834,134,7,472,822.000000,0.0224275
835,133,7,474,824.000000,0.0218915
836,133,7,474,824.000000,0.0769882
837,133,7,474,824.000000,0.0757251
838,133,7,474,824.000000,0.0744667
839,134,7,472,822.000000,0.270579
840,135,7,468,818.000000,0.0707214
841,135,7,468,818.000000,0.0694835
842,135,7,468,818.000000,0.068251
843,135,7,468,818.000000,0.0670241
844,135,7,468,818.000000,0.0658031
845,135,7,468,818.000000,0.064588
846,135,7,467,817.000000,0.0155039
847,135,7,467,817.000000,0.0609804
848,136,7,465,815.000000,0.244522
849,136,7,465,815.000000,0.0586083
850,136,7,465,815.000000,0.0574326
851,136,7,465,815.000000,0.0562641
852,136,7,465,815.000000,0.055103
853,136,7,465,815.000000,0.0539494
854,136,7,464,814.000000,0.0516656
855,139,7,458,808.000000,0.0471965
856,139,7,458,808.000000,0.0461009
857,139,7,458,808.000000,0.0450143
858,139,7,458,808.000000,0.0439369
859,139,7,458,808.000000,0.042869
860,140,7,456,806.000000,0.0407622
861,140,7,456,806.000000,0.0397237
862,140,7,456,806.000000,0.0386955
863,140,7,456,806.000000,0.0376776
864,140,7,456,806.000000,0.0366704
865,139,7,458,808.000000,0.00673795
866,139,7,458,808.000000,0.0346886
867,138,7,460,810.000000,0.00619046
868,138,7,460,810.000000,0.0327516
869,138,7,460,810.000000,0.0318004
870,139,7,456,806.000000,1
871,138,7,458,808.000000,0.0299337
872,139,7,456,806.000000,1
873,140,7,454,804.000000,0.165001
874,140,7,454,804.000000,0.162321
875,140,7,454,804.000000,0.159635
876,141,7,452,802.000000,0.154253
877,141,7,452,802.000000,0.151557
878,141,7,452,802.000000,0.148858
879,143,7,448,798.000000,0.140748
880,143,7,448,798.000000,0.138042
881,143,7,448,798.000000,0.135335
882,143,7,448,798.000000,0.132629
883,143,7,448,798.000000,0.129923
884,143,7,448,798.000000,0.127218
885,143,7,448,798.000000,0.124514
886,143,7,448,798.000000,0.121814
887,143,7,448,798.000000,0.119116
888,143,7,448,798.000000,0.116422
889,143,7,448,798.000000,0.113732
890,143,7,448,798.000000,0.111047
891,143,7,448,798.000000,0.108368
892,143,7,448,798.000000,0.105696
893,143,7,448,798.000000,0.103031
894,143,7,448,798.000000,0.100374
895,142,7,450,800.000000,0.00955049
896,142,7,450,800.000000,0.0950891
897,143,7,448,798.000000,1
898,143,7,448,798.000000,0.0898478
899,143,7,448,798.000000,0.0872459
900,144,7,446,796.000000,0.082085
901,144,7,446,796.000000,0.079528
902,145,7,444,794.000000,0.0744667
903,145,7,444,794.000000,0.0719647
904,145,7,444,794.000000,0.0694835
905,145,7,445,795.000000,0.0173519
906,145,7,445,795.000000,0.064588
907,145,7,444,794.000000,0.249352
908,145,7,444,794.000000,0.0597909
909,145,7,442,792.000000,0.055103
910,145,7,442,792.000000,0.0528036
911,145,7,442,792.000000,0.0505357
912,145,7,440,790.000000,0.0461009
913,145,7,440,790.000000,0.0439369
914,145,7,440,790.000000,0.0418107
915,145,7,440,790.000000,0.0397237
916,145,7,440,790.000000,0.0376776
917,146,7,436,786.000000,0.0318004
918,146,7,436,786.000000,0.0299337
919,146,7,437,787.000000,0.00471436
920,146,7,437,787.000000,0.026348
921,146,7,437,787.000000,0.0246321
922,146,7,437,787.000000,0.0229696
923,146,7,437,787.000000,0.0213617
924,146,7,437,787.000000,0.01981
925,146,7,437,787.000000,0.0183156
926,147,7,435,785.000000,0.0155039
927,147,7,435,785.000000,0.0141886
928,148,7,433,783.000000,0.0117436
929,148,7,430,780.000000,0.0924625
930,148,7,430,780.000000,0.0872459
931,148,7,430,780.000000,0.082085
932,148,7,430,780.000000,0.0769882
933,148,7,430,780.000000,0.0719647
934,148,7,430,780.000000,0.0670241
935,148,7,430,780.000000,0.0621765
936,148,7,430,780.000000,0.0574326
937,148,7,430,780.000000,0.0528036
938,148,7,430,780.000000,0.048301
939,148,7,430,780.000000,0.0439369
940,148,7,430,780.000000,0.0397237
941,148,7,430,780.000000,0.035674
942,148,7,430,780.000000,0.0318004
943,148,7,430,780.000000,0.0281157
944,148,7,430,780.000000,0.0246321
945,148,7,430,780.000000,0.0213617
946,148,7,430,780.000000,0.0183156
947,148,7,430,780.000000,0.0155039
948,148,7,430,780.000000,0.0129349
949,148,7,430,780.000000,0.0106153
950,148,7,430,780.000000,0.00854931
951,148,7,430,780.000000,0.00673795
952,148,7,429,779.000000,1
953,148,7,429,779.000000,1
954,148,7,429,779.000000,1
955,148,7,429,779.000000,1
956,148,7,429,779.000000,1
957,148,7,429,779.000000,1
958,148,7,429,779.000000,1
959,148,7,429,779.000000,1
960,148,7,429,779.000000,1
961,148,7,429,779.000000,1
962,148,7,429,779.000000,1
963,148,7,429,779.000000,1
964,148,7,429,779.000000,1
965,148,7,429,779.000000,1
966,148,7,429,779.000000,1
967,148,7,429,779.000000,1
968,148,7,429,779.000000,1
969,148,7,429,779.000000,1
