nCospec,nIndividualDups,nAllDupEvents,nJointDups,nXtinc,nHostSwitch,nLineageSort,codivs,dups,losses,cost,sdTime,mrDups,mrLosses,mrCost,mrTime,nH,nP,rB,pJ
5157,942,7,7,0,0,5178,5235,10,4969,5069,44.31984734535217,9,4963,5053,1229.1253650188446,50,90,2.0,0.5
2399,223,4,4,0,0,2335,2420,6,2272,2332,17.15646004676819,5,2280,2330,18.567599296569824,50,90,2.0,0.5
1216,121,4,4,0,0,1262,1227,5,1172,1222,12.278606176376343,4,1178,1218,2.9237101078033447,50,90,2.0,0.5
1224,124,3,3,0,0,1234,1248,3,1148,1178,10.583130121231079,3,1146,1176,1.3819680213928223,50,90,2.0,0.5
822,153,4,4,0,0,823,836,8,717,797,10.253398418426514,4,729,769,0.19660305976867676,50,90,2.0,0.5
1121,170,5,5,0,0,1123,1136,7,1056,1126,11.650582551956177,5,1053,1103,0.756584644317627,50,90,2.0,0.5
797,81,4,4,0,0,819,807,5,713,763,9.427486419677734,4,709,749,4.737491607666016,50,90,2.0,0.5
902,51,2,2,0,0,897,910,2,809,829,8.877280473709106,2,809,829,0.18180012702941895,50,90,2.0,0.5
801,87,3,3,0,0,771,809,4,695,735,9.052343606948853,3,693,723,0.23896479606628418,50,90,2.0,0.5
816,66,3,3,0,0,782,823,3,686,716,9.168874979019165,3,686,716,1.600921869277954,50,90,2.0,0.5
3565,390,4,4,0,0,3535,3592,5,3456,3506,28.013734579086304,5,3456,3506,0.39455485343933105,50,90,2.0,0.5
2073,328,6,6,0,0,1942,2104,15,1800,1950,26.428762674331665,6,1830,1890,7.810553550720215,50,90,2.0,0.5
1215,216,7,7,0,0,1199,1232,9,1114,1204,13.369415760040283,10,1097,1197,177.1115038394928,50,90,2.0,0.5
783,57,3,3,0,0,800,796,3,699,729,7.925029516220093,3,699,729,0.2870316505432129,50,90,2.0,0.5
930,145,5,5,0,0,873,946,6,769,829,10.809847593307495,5,760,810,1.7099173069000244,50,90,2.0,0.5
3468,348,4,4,0,0,3396,3490,5,3331,3381,28.437653064727783,5,3331,3381,0.5833935737609863,50,90,2.0,0.5
723,0,0,0,0,0,714,723,0,610,610,0.05157971382141113,0,610,610,0.046695709228515625,50,90,2.0,0.5
1391,251,7,7,0,0,1305,1408,13,1196,1326,16.572072505950928,8,1211,1291,4.725451707839966,50,90,2.0,0.5
1566,336,6,6,0,0,1530,1600,14,1412,1552,20.455300092697144,6,1437,1497,5.261059761047363,50,90,2.0,0.5
1939,335,5,5,0,0,1938,1973,7,1852,1922,18.11320948600769,5,1851,1901,78.84987616539001,50,90,2.0,0.5
736,29,1,1,0,0,792,741,1,689,699,7.184523105621338,1,689,699,0.0586237907409668,50,90,2.0,0.5
932,370,7,7,0,0,964,956,11,831,941,10.55297040939331,8,821,901,1.7398724555969238,50,90,2.0,0.5
1357,327,6,6,0,0,1401,1376,13,1270,1400,17.655951499938965,6,1294,1354,1.0106391906738281,50,90,2.0,0.5
