nCospec,nIndividualDups,nAllDupEvents,nJointDups,nXtinc,nHostSwitch,nLineageSort,codivs,dups,losses,cost,sdTime,mrDups,mrLosses,mrCost,mrTime,nH,nP,rB,pJ
748,32,1,1,0,0,738,748,1,661,671,76.9473488330841,1,661,671,0.04636859893798828,50,90,2.0,0.5
691,77,3,3,0,0,753,700,3,651,681,73.06714987754822,3,651,681,0.1603260040283203,50,90,2.0,0.5
627,65,4,4,0,0,592,627,4,494,534,51.814775466918945,4,494,534,0.08678817749023438,50,90,2.0,0.5
751,29,1,1,0,0,713,758,1,628,638,76.0361053943634,1,628,638,0.07510519027709961,50,90,2.0,0.5
709,48,3,3,0,0,697,713,3,610,640,75.77957057952881,3,610,640,0.227677583694458,50,90,2.0,0.5
1237,129,3,3,0,0,1156,1256,3,1077,1107,116.55411553382874,3,1077,1107,0.2149198055267334,50,90,2.0,0.5
2410,582,9,9,0,0,2474,2481,11,2297,2407,342.7745749950409,9,2312,2402,979.475590467453,50,90,2.0,0.5
702,47,2,2,0,0,727,705,2,636,656,54.67152500152588,3,632,662,0.24870920181274414,50,90,2.0,0.5
613,51,4,4,0,0,623,614,4,522,562,65.24798130989075,4,522,562,0.1623516082763672,50,90,2.0,0.5
3551,910,7,7,0,0,3482,3613,11,3290,3400,486.9017081260681,11,3289,3399,5.0560688972473145,50,90,2.0,0.5
2077,327,5,5,0,0,2077,2110,5,1995,2045,248.23980617523193,5,1995,2045,1.22377347946167,50,90,2.0,0.5
1421,452,6,6,0,0,1527,1488,8,1334,1414,160.699782371521,9,1328,1418,3.402691602706909,50,90,2.0,0.5
858,62,4,4,0,0,816,863,4,735,775,97.97894144058228,4,735,775,0.4953293800354004,50,90,2.0,0.5
1242,118,3,3,0,0,1278,1257,3,1189,1219,116.36907696723938,3,1189,1219,0.18480682373046875,50,90,2.0,0.5
1069,304,6,6,0,0,1082,1077,6,997,1057,135.34038710594177,6,997,1057,0.38509392738342285,50,90,2.0,0.5
760,141,5,5,0,0,829,767,5,739,789,79.89817428588867,5,739,789,0.594088077545166,50,90,2.0,0.5
970,161,5,5,0,0,1000,993,5,882,932,108.40963745117188,5,882,932,3.7895467281341553,50,90,2.0,0.5
2008,912,9,9,0,0,2002,2109,15,1706,1856,306.79666113853455,13,1721,1851,45.3487229347229,50,90,2.0,0.5
1274,153,3,3,0,0,1244,1284,3,1182,1212,141.1967475414276,3,1182,1212,0.14098119735717773,50,90,2.0,0.5
1107,267,8,8,0,0,1141,1126,9,1040,1130,137.89052772521973,8,1046,1126,64.38159728050232,50,90,2.0,0.5
2011,758,11,11,0,0,2070,2082,14,1868,2008,256.2841680049896,15,1860,2010,2554.7956166267395,50,90,2.0,0.5
1137,160,5,5,0,0,1157,1154,6,1076,1136,114.91740345954895,6,1076,1136,1.6864714622497559,50,90,2.0,0.5
1020,125,5,5,0,0,1010,1036,5,904,954,113.88781118392944,5,904,954,3.0227086544036865,50,90,2.0,0.5
1190,133,4,4,0,0,1092,1203,4,1008,1048,117.54191374778748,4,1008,1048,0.40070438385009766,50,90,2.0,0.5
919,203,5,5,0,0,983,936,7,864,934,102.21527552604675,6,868,928,3.7270991802215576,50,90,2.0,0.5
948,92,3,3,0,0,1007,959,3,916,946,102.09265756607056,3,916,946,0.17891192436218262,50,90,2.0,0.5
709,33,2,2,0,0,709,712,2,604,624,75.98533630371094,2,604,624,0.10431838035583496,50,90,2.0,0.5
1679,352,6,6,0,0,1708,1710,6,1621,1681,215.82872676849365,6,1621,1681,11.83701753616333,50,90,2.0,0.5
1051,218,6,6,0,0,1087,1078,7,972,1042,129.65878319740295,7,972,1042,1.9995110034942627,50,90,2.0,0.5
5541,823,7,7,0,0,5526,5608,11,5329,5439,818.0026044845581,9,5352,5442,42.31245136260986,50,90,2.0,0.5
1874,638,7,7,0,0,1824,1901,8,1750,1830,272.0008614063263,8,1748,1828,7.546763181686401,50,90,2.0,0.5
647,46,2,2,0,0,607,656,2,526,546,59.4713933467865,2,526,546,0.08716034889221191,50,90,2.0,0.5
617,26,2,2,0,0,657,618,2,576,596,46.02470874786377,2,576,596,0.0697329044342041,50,90,2.0,0.5
723,205,9,9,0,0,703,733,9,608,698,86.39422273635864,9,608,698,38.06070828437805,50,90,2.0,0.5
2781,500,6,6,0,0,2696,2821,7,2551,2621,387.00283336639404,6,2561,2621,1.2984144687652588,50,90,2.0,0.5
1526,175,5,5,0,0,1545,1540,6,1485,1545,103.93743205070496,5,1496,1546,68.90114569664001,50,90,2.0,0.5
820,50,2,2,0,0,935,823,2,839,859,64.15351104736328,2,839,859,0.10852599143981934,50,90,2.0,0.5
668,103,5,5,0,0,760,674,5,657,707,72.37593483924866,5,657,707,2.154223680496216,50,90,2.0,0.5
994,190,4,4,0,0,1025,1016,5,943,993,94.68454194068909,5,944,994,0.3334472179412842,50,90,2.0,0.5
1061,156,5,5,0,0,1112,1082,5,991,1041,114.97092127799988,5,991,1041,2.6523044109344482,50,90,2.0,0.5
609,54,3,3,0,0,611,613,3,547,577,69.09002685546875,3,547,577,0.11701583862304688,50,90,2.0,0.5
717,91,5,5,0,0,765,725,5,655,705,68.94970154762268,6,654,714,0.7626113891601562,50,90,2.0,0.5
959,101,3,3,0,0,989,971,3,926,956,81.00753474235535,3,926,956,0.7179019451141357,50,90,2.0,0.5
958,144,5,5,0,0,951,969,5,861,911,81.09819674491882,5,861,911,1.5007765293121338,50,90,2.0,0.5
